Series	HM	System	DifferentPixels	OldPng	NewPng
468	P-6	hexagonal	624	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\468_P-6.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\468_P-6.png
469	P6/m	hexagonal	597	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\469_P6_m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\469_P6_m.png
470	P6sub3/m	hexagonal	738	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\470_P6sub3_m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\470_P6sub3_m.png
481	P-6m2	hexagonal	713	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\481_P-6m2.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\481_P-6m2.png
482	P-6c2	hexagonal	1062	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\482_P-6c2.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\482_P-6c2.png
483	P-62m	hexagonal	640	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\483_P-62m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\483_P-62m.png
484	P-62c	hexagonal	1030	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\484_P-62c.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\484_P-62c.png
485	P6/mmm	hexagonal	665	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\485_P6_mmm.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\485_P6_mmm.png
486	P6/mcc	hexagonal	628	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\486_P6_mcc.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\486_P6_mcc.png
487	P6sub3/mcm	hexagonal	766	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\487_P6sub3_mcm.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\487_P6sub3_mcm.png
488	P6sub3/mmc	hexagonal	793	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\488_P6sub3_mmc.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\488_P6sub3_mmc.png
