Series	HM	System	OldPng	NewPng	Width	Height	DifferentPixels	Error
1	P1	triclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\001_P1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\001_P1.png	900	900	0	
2	P-1	triclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\002_P-1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\002_P-1.png	900	900	0	
3	P2=P121	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\003_P2=P121.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\003_P2=P121.png	900	900	0	
4	P2=P112	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\004_P2=P112.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\004_P2=P112.png	900	900	0	
5	P2=P211	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\005_P2=P211.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\005_P2=P211.png	900	900	0	
6	P2sub1=P12sub11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\006_P2sub1=P12sub11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\006_P2sub1=P12sub11.png	900	900	0	
7	P2sub1=P112sub1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\007_P2sub1=P112sub1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\007_P2sub1=P112sub1.png	900	900	0	
8	P2sub1=P2sub111	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\008_P2sub1=P2sub111.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\008_P2sub1=P2sub111.png	900	900	0	
9	C2=C121	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\009_C2=C121.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\009_C2=C121.png	900	900	0	
10	C2=A121	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\010_C2=A121.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\010_C2=A121.png	900	900	0	
11	C2=I121	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\011_C2=I121.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\011_C2=I121.png	900	900	0	
12	C2=A112	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\012_C2=A112.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\012_C2=A112.png	900	900	0	
13	C2=B112=B2	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\013_C2=B112=B2.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\013_C2=B112=B2.png	900	900	0	
14	C2=I112	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\014_C2=I112.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\014_C2=I112.png	900	900	0	
15	C2=B211	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\015_C2=B211.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\015_C2=B211.png	900	900	0	
16	C2=C211	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\016_C2=C211.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\016_C2=C211.png	900	900	0	
17	C2=I211	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\017_C2=I211.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\017_C2=I211.png	900	900	0	
18	Pm=P1m1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\018_Pm=P1m1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\018_Pm=P1m1.png	900	900	0	
19	Pm=P11m	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\019_Pm=P11m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\019_Pm=P11m.png	900	900	0	
20	Pm=Pm11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\020_Pm=Pm11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\020_Pm=Pm11.png	900	900	0	
21	Pc=P1c1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\021_Pc=P1c1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\021_Pc=P1c1.png	900	900	0	
22	Pc=P1n1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\022_Pc=P1n1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\022_Pc=P1n1.png	900	900	0	
23	Pc=P1a1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\023_Pc=P1a1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\023_Pc=P1a1.png	900	900	0	
24	Pc=P11a	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\024_Pc=P11a.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\024_Pc=P11a.png	900	900	0	
25	Pc=P11n	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\025_Pc=P11n.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\025_Pc=P11n.png	900	900	0	
26	Pc=P11b=Pb	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\026_Pc=P11b=Pb.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\026_Pc=P11b=Pb.png	900	900	0	
27	Pc=Pb11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\027_Pc=Pb11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\027_Pc=Pb11.png	900	900	0	
28	Pc=Pn11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\028_Pc=Pn11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\028_Pc=Pn11.png	900	900	0	
29	Pc=Pc11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\029_Pc=Pc11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\029_Pc=Pc11.png	900	900	0	
30	Cm=C1m1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\030_Cm=C1m1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\030_Cm=C1m1.png	900	900	0	
31	Cm=A1m1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\031_Cm=A1m1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\031_Cm=A1m1.png	900	900	0	
32	Cm=I1m1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\032_Cm=I1m1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\032_Cm=I1m1.png	900	900	0	
33	Cm=A11m	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\033_Cm=A11m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\033_Cm=A11m.png	900	900	0	
34	Cm=B11m=Bm	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\034_Cm=B11m=Bm.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\034_Cm=B11m=Bm.png	900	900	0	
35	Cm=I11m	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\035_Cm=I11m.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\035_Cm=I11m.png	900	900	0	
36	Cm=Bm11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\036_Cm=Bm11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\036_Cm=Bm11.png	900	900	0	
37	Cm=Cm11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\037_Cm=Cm11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\037_Cm=Cm11.png	900	900	0	
38	Cm=Im11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\038_Cm=Im11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\038_Cm=Im11.png	900	900	0	
39	Cc=C1c1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\039_Cc=C1c1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\039_Cc=C1c1.png	900	900	0	
40	Cc=A1n1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\040_Cc=A1n1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\040_Cc=A1n1.png	900	900	0	
41	Cc=I1a1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\041_Cc=I1a1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\041_Cc=I1a1.png	900	900	0	
42	Cc=A1a1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\042_Cc=A1a1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\042_Cc=A1a1.png	900	900	0	
43	Cc=C1n1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\043_Cc=C1n1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\043_Cc=C1n1.png	900	900	0	
44	Cc=I1c1	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\044_Cc=I1c1.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\044_Cc=I1c1.png	900	900	0	
45	Cc=A11a	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\045_Cc=A11a.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\045_Cc=A11a.png	900	900	0	
46	Cc=B11n	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\046_Cc=B11n.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\046_Cc=B11n.png	900	900	0	
47	Cc=I11b	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\047_Cc=I11b.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\047_Cc=I11b.png	900	900	0	
48	Cc=B11b=Bb	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\048_Cc=B11b=Bb.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\048_Cc=B11b=Bb.png	900	900	0	
49	Cc=A11n	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\049_Cc=A11n.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\049_Cc=A11n.png	900	900	0	
50	Cc=I11a	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\050_Cc=I11a.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\050_Cc=I11a.png	900	900	0	
51	Cc=Bb11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\051_Cc=Bb11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\051_Cc=Bb11.png	900	900	0	
52	Cc=Cn11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\052_Cc=Cn11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\052_Cc=Cn11.png	900	900	0	
53	Cc=Ic11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\053_Cc=Ic11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\053_Cc=Ic11.png	900	900	0	
54	Cc=Cc11	monoclinic	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_principal-baseline\current_PrincipalSymmetryAxes\054_Cc=Cc11.png	C:\Users\seto\source\repos\ReciPro\.codex_output\symmetry-diagrams\all-space-groups_260512_no-minus3-minus6-principal\current\054_Cc=Cc11.png	900	900	0	
