AtomicNumber,BlockIndex,EnergyEv,SigmaA0Squared,WeightedRmsError,WeightedMaxError,ElapsedMilliseconds,PhiKnotIndices,XKnot
26,1,49.999999999999993,14.498452501099999,4.4920597652063483E-05,0.00019307141686486506,1720.999,"0;1;111;353;642;894;1070;1176;1240;1283;1357;1364;1419;1516;1666;1717;2251;2387;2549;2682;2775;2834;2870;2894;2913;2927;2935;2951;2952;2957;2973;3010;3092;3232;3296;3644;3695;3783;3853;3897;3922;3936;3944;3949;3957;3960;3962;3973;4004;4063;4096","1;0.999974251;0.997058988;0.989627779;0.977965355;0.962967277;0.946167648;0.929438949;0.913170218;0.896725595;0.856822252;0.85298872;0.825996339;0.788987935;0.744160354;0.730534673;0.59637022;0.55835253;0.506151378;0.452556074;0.403007835;0.360342085;0.325074911;0.29348731;0.259047925;0.222573325;0.193922237;0.120435953;0.116021805;0.0955585539;0.04585094;-0.0243927874;-0.116115317;-0.219411552;-0.258535504;-0.452692956;-0.483484447;-0.542945623;-0.602013469;-0.652434289;-0.693444133;-0.727265418;-0.755978882;-0.782052219;-0.8368963;-0.852880597;-0.861558855;-0.893793881;-0.939093232;-0.983197629;-1"
26,2,53.087295892748919,14.907965022400001,4.1734430748514762E-05,0.00022592573865698462,1719.867,"0;4;117;370;654;893;1061;1170;1242;1293;1338;1339;1428;1518;1651;1708;2258;2391;2545;2674;2766;2830;2872;2899;2915;2924;2940;2944;2953;2973;3016;3098;3217;3285;3652;3698;3781;3859;3913;3944;3960;3968;3972;3976;3977;3978;3979;3987;4013;4068;4096","1;0.999899626;0.996975362;0.989334285;0.978016496;0.964188397;0.949241698;0.934044003;0.918457687;0.901981413;0.882027328;0.881533265;0.837911844;0.802710056;0.761351347;0.745604932;0.605297506;0.567547917;0.517272711;0.464907706;0.415706396;0.368466109;0.323594749;0.279791951;0.2392454;0.205468312;0.124867074;0.107214659;0.0749488696;0.0253793132;-0.0414683633;-0.122954533;-0.20736827;-0.248204052;-0.446664631;-0.473265976;-0.525841951;-0.585702062;-0.641557217;-0.68900764;-0.728034079;-0.761085629;-0.789963543;-0.835179627;-0.84468019;-0.852633953;-0.859369993;-0.892408192;-0.93869406;-0.984507501;-1"
26,3,56.365219704085561,15.2876633402,3.5125676865315343E-05,0.00021531231200788703,1727.791,"0;16;120;363;645;886;1056;1164;1229;1275;1321;1446;1471;1541;1640;1703;2265;2393;2529;2656;2759;2833;2878;2901;2912;2929;2937;2950;2975;3023;3103;3206;3277;3659;3705;3787;3859;3913;3946;3964;3974;3981;3985;3987;3989;3990;3991;3996;4018;4072;4096","1;0.999610186;0.996986926;0.989891291;0.97914058;0.965987265;0.952030957;0.938718319;0.927288115;0.916425109;0.902014077;0.8475492;0.837049842;0.810749114;0.779095888;0.760990679;0.614851296;0.577903032;0.533236384;0.482311219;0.427500844;0.369925201;0.313042492;0.262218475;0.221101612;0.126780942;0.0934316292;0.0551014729;0.00562577043;-0.0570123829;-0.128973529;-0.199411198;-0.241300538;-0.443104237;-0.469031513;-0.519402087;-0.5717116;-0.62183249;-0.663647473;-0.695749283;-0.720988452;-0.747326195;-0.77253598;-0.795898139;-0.838922858;-0.85330379;-0.863065422;-0.890194535;-0.937174439;-0.985984623;-1"
26,4,59.845541929811816,15.633558392799999,4.1297162312066417E-05,0.00026188552254802211,1749.425,"0;18;124;370;643;873;1044;1173;1271;1344;1471;1472;1532;1612;1703;1731;2388;2542;2631;2761;2843;2880;2896;2903;2907;2912;2917;2925;2936;2951;2978;3027;3104;3200;3272;3664;3712;3790;3860;3910;3943;3967;3983;3991;3994;3995;3996;4000;4020;4074;4096","1;0.999575496;0.996983945;0.99001509;0.979990184;0.968209267;0.955520153;0.941254675;0.924553454;0.905417085;0.855466306;0.8550542;0.831570804;0.804010451;0.776354849;0.768370509;0.591074049;0.539320707;0.503414035;0.434039593;0.362642616;0.303852737;0.257284135;0.224072993;0.198896348;0.164336279;0.134391516;0.0992464647;0.0655620024;0.0323663428;-0.0109735914;-0.0670923069;-0.131762177;-0.195457131;-0.237182245;-0.440923303;-0.467623621;-0.514790475;-0.564256489;-0.608022273;-0.645287216;-0.682322562;-0.720205307;-0.754297316;-0.781322241;-0.803939223;-0.849629879;-0.885644555;-0.935508966;-0.98679775;-1"
26,5,63.540759845796678,15.9422988431,4.0484192958508493E-05,0.0002200823012468156,1720.290,"0;15;128;377;635;852;1027;1166;1272;1350;1406;1426;1551;1614;1691;1732;2392;2541;2643;2773;2847;2877;2888;2893;2903;2905;2910;2918;2929;2948;2981;3036;3111;3200;3669;3712;3791;3856;3906;3946;3970;3984;3992;3995;3996;3997;3998;4004;4028;4076;4096","1;0.999658525;0.996992588;0.990168154;0.981111407;0.970828891;0.959246278;0.945922613;0.930739522;0.914122999;0.897667706;0.890787482;0.843350887;0.821217418;0.79667455;0.784458637;0.602231503;0.551201344;0.508660376;0.433861226;0.360309124;0.302886158;0.264394939;0.237256318;0.159999385;0.146881387;0.120570309;0.090310216;0.0603641979;0.0229139905;-0.023663111;-0.0799354836;-0.138488159;-0.195509121;-0.440835536;-0.464644611;-0.512107015;-0.557412505;-0.599850833;-0.644192815;-0.681795776;-0.714868963;-0.746985972;-0.770403862;-0.786157131;-0.852208614;-0.867245317;-0.900136471;-0.946255982;-0.988087595;-1"
26,6,67.46414238367818,16.211155443599999,3.4401104400513575E-05,0.00018107634448871757,1723.962,"0;29;136;356;609;845;1032;1164;1256;1325;1382;1436;1597;1617;1676;1733;2399;2542;2686;2790;2846;2871;2881;2885;2894;2899;2906;2915;2927;2948;2985;3042;3115;3200;3668;3713;3790;3873;3934;3968;3984;3990;3992;3993;3994;3995;3997;4006;4032;4075;4096","1;0.999364018;0.996914744;0.991164148;0.982898712;0.972564459;0.961100638;0.949685693;0.938732505;0.927758455;0.915943623;0.901659131;0.846073925;0.83913523;0.819536924;0.801758528;0.613204837;0.563143253;0.498443037;0.428939193;0.365132213;0.312051207;0.272479206;0.24681133;0.163304627;0.132122338;0.102611631;0.0754988417;0.0482695028;0.0123615544;-0.034295585;-0.0880477503;-0.142369196;-0.195562452;-0.43930915;-0.464344323;-0.510947227;-0.571134269;-0.631297529;-0.683244705;-0.726511478;-0.759877563;-0.78968817;-0.853598654;-0.866553128;-0.874774277;-0.886245847;-0.914584219;-0.953262031;-0.987811506;-1"
26,7,71.629777777457321,16.438004023400001,3.9384213079789383E-05,0.00022944268480507013,1713.068,"0;30;139;355;601;829;1015;1161;1275;1364;1438;1504;1577;1635;1734;2409;2543;2693;2789;2837;2859;2869;2873;2876;2879;2885;2889;2897;2908;2915;2927;2950;2989;3047;3118;3200;3671;3724;3867;3939;3967;3977;3982;3983;3984;3987;3993;4007;4036;4075;4096","1;0.999367535;0.996969223;0.991553962;0.983935714;0.97467345;0.964414477;0.953281045;0.941144228;0.927938461;0.912895501;0.895319104;0.87193048;0.852302611;0.820083916;0.623977363;0.57597369;0.506519079;0.439583659;0.384767771;0.342995614;0.312624127;0.295184731;0.277852863;0.253515452;0.181286946;0.149190784;0.110853121;0.0773927942;0.0610743985;0.0378920808;0.00296787848;-0.0420704596;-0.0936788544;-0.144816771;-0.195394501;-0.441570997;-0.471800834;-0.570307434;-0.647363245;-0.700446069;-0.735839903;-0.776943326;-0.81084013;-0.847243726;-0.874354959;-0.898228109;-0.927357852;-0.960604787;-0.988475263;-1"
26,8,76.0526241520746,16.621308945199999,3.766170213226052E-05,0.00026907509243523364,1693.886,"0;34;147;356;596;825;1013;1157;1271;1368;1452;1525;1588;1703;1793;2416;2547;2681;2778;2832;2857;2868;2873;2875;2879;2881;2886;2899;2922;2951;2990;3048;3128;3206;3713;3782;3872;3925;3949;3960;3966;3968;3970;3972;3976;3982;3992;4011;4041;4075;4096","1;0.999311984;0.996917427;0.991892159;0.984833717;0.976119936;0.966546416;0.956665695;0.946142793;0.934015989;0.919700861;0.903155804;0.885551214;0.849182963;0.820945084;0.636537552;0.588549733;0.526297212;0.460859001;0.401262909;0.352520496;0.313345194;0.280407459;0.258068413;0.192893177;0.171233609;0.13771382;0.0899779275;0.0407904424;-0.00145234878;-0.0444038138;-0.0946533605;-0.150944531;-0.198282838;-0.468143791;-0.512112975;-0.583251655;-0.644586861;-0.688992143;-0.722786248;-0.757315099;-0.782330155;-0.832189679;-0.854911685;-0.877040029;-0.896225691;-0.916723728;-0.941897094;-0.968076646;-0.989306033;-1"
26,9,80.748563235624118,16.760106532799998,4.1307372773862691E-05,0.00020682691780649076,1695.596,"0;35;152;368;608;832;1019;1159;1268;1364;1455;1537;1607;1803;1858;2417;2548;2669;2772;2832;2857;2866;2870;2872;2873;2875;2877;2881;2888;2899;2918;2951;3000;3060;3143;3664;3718;3850;3913;3937;3946;3949;3952;3954;3959;3967;3977;3995;4026;4067;4096","1;0.999321103;0.996943414;0.991949975;0.98516506;0.977050424;0.968126237;0.959325075;0.950431108;0.940257728;0.927467406;0.912077606;0.895323634;0.837103665;0.820415556;0.652000725;0.603297532;0.547238052;0.479478896;0.413370162;0.361928105;0.3276999;0.301339954;0.279169619;0.261805207;0.212678522;0.18270573;0.150704086;0.118139811;0.0850683674;0.0460203402;-0.00144527887;-0.0529915504;-0.102514349;-0.159170941;-0.443087876;-0.475845128;-0.575028837;-0.651654065;-0.705871463;-0.747417629;-0.776264548;-0.823417962;-0.842826784;-0.86901623;-0.892249227;-0.911106527;-0.934309423;-0.961221159;-0.986132026;-1"
26,10,85.734457388078539,16.853987463500001,4.1956891938651189E-05,0.00019653816228659693,1709.737,"0;37;159;375;610;825;1002;1146;1282;1410;1521;1622;1902;1903;2416;2546;2675;2775;2831;2856;2866;2870;2872;2873;2874;2875;2877;2881;2888;2899;2919;2953;3005;3069;3143;3674;3730;3828;3884;3908;3919;3924;3931;3933;3939;3951;3971;3999;4034;4070;4096","1;0.999312818;0.996934831;0.992144883;0.985815465;0.978507876;0.970803976;0.962759256;0.952821493;0.940041304;0.924463987;0.904752851;0.826410532;0.826112628;0.669058442;0.620272577;0.559639096;0.492258728;0.430220217;0.38039431;0.343523711;0.316857398;0.292675465;0.269374907;0.228947297;0.204188108;0.178460926;0.149756446;0.11914371;0.0871919394;0.0471362695;-0.00073236;-0.0544504859;-0.106377184;-0.156843886;-0.454036325;-0.490668148;-0.569459498;-0.637039661;-0.684913635;-0.722406805;-0.751849294;-0.823213458;-0.836983204;-0.863135576;-0.892293632;-0.920985222;-0.94712323;-0.970359385;-0.988789976;-1"
