AtomicNumber,BlockIndex,EnergyEv,SigmaA0Squared,WeightedRmsError,WeightedMaxError,ElapsedMilliseconds,PhiKnotIndices,XKnot
49,1,49.999999999999993,31.962937219200001,5.0237715930817682E-05,0.00022078512624390534,2566.909,"0;139;362;618;833;992;1107;1197;1276;1347;1417;1576;1577;1690;2018;2063;2208;2321;2394;2435;2456;2466;2471;2475;2478;2480;2483;2486;2491;2501;2506;2514;2547;2637;2809;2907;3411;3478;3619;3691;3720;3731;3735;3740;3743;3749;3763;3803;3895;4028;4096","1;0.995485067;0.986967742;0.974323452;0.959745884;0.944819868;0.93018645;0.915029645;0.897569239;0.877144933;0.851608574;0.77934593;0.778871715;0.726268351;0.581065893;0.560304463;0.487040162;0.415696114;0.352134436;0.299272507;0.257863641;0.228291839;0.207482263;0.184261084;0.158528835;0.13421236;0.0942604318;0.0664554164;0.037187364;0.00138916762;-0.0116801709;-0.0291578025;-0.0798713416;-0.162164807;-0.260906607;-0.305450499;-0.507723749;-0.537778497;-0.61507374;-0.676408052;-0.720388889;-0.752397299;-0.774507046;-0.821751118;-0.838469803;-0.857358217;-0.881189346;-0.915336907;-0.954678893;-0.987533808;-1"
49,2,53.087295892748919,31.827549353799998,3.4405765450451694E-05,0.00012424420196710528,2570.509,"0;27;151;360;595;806;979;1119;1234;1332;1420;1502;1572;1792;2021;2111;2222;2323;2393;2434;2455;2465;2471;2475;2484;2488;2496;2514;2558;2652;2800;2898;3427;3483;3605;3681;3717;3733;3741;3745;3747;3748;3749;3750;3751;3753;3762;3795;3887;4031;4096","1;0.999148548;0.994985163;0.986773431;0.97500968;0.960791767;0.944779992;0.926984012;0.907171547;0.884890914;0.859526336;0.831146896;0.803887665;0.708652258;0.601494789;0.555481613;0.49194628;0.420825571;0.353525728;0.29496035;0.248574138;0.215568304;0.187922031;0.163766772;0.0969737917;0.0726645142;0.0375398137;-0.0113703264;-0.079030104;-0.162519827;-0.248825148;-0.294716418;-0.508645952;-0.533713818;-0.597500205;-0.652842462;-0.693133712;-0.721535683;-0.744521499;-0.764131904;-0.781832874;-0.796736717;-0.813471973;-0.824976683;-0.832824469;-0.84359318;-0.868676305;-0.906451702;-0.951258957;-0.988024414;-1"
49,3,56.365219704085561,31.365776329500001,3.322312200665876E-05,0.0001453522543071184,2657.370,"0;49;177;376;598;805;978;1115;1228;1339;1462;1605;1775;1975;2148;2257;2334;2389;2427;2451;2466;2477;2485;2500;2501;2502;2507;2518;2527;2540;2576;2654;2782;2890;3439;3486;3596;3672;3713;3734;3744;3749;3751;3752;3753;3755;3762;3789;3875;4026;4096","1;0.998422563;0.993972421;0.98584044;0.974344313;0.960087597;0.944019794;0.927192807;0.909459114;0.887638867;0.857371986;0.813429415;0.749108136;0.657438099;0.562473953;0.490603834;0.428661376;0.372793406;0.322235167;0.279609442;0.244473621;0.211136416;0.180731207;0.111552298;0.106995478;0.102518745;0.0815297887;0.0438042842;0.0197242405;-0.00819075573;-0.0633811578;-0.139698997;-0.223017275;-0.277835488;-0.50726676;-0.528674006;-0.585692823;-0.637634814;-0.678204834;-0.710247219;-0.735062361;-0.756773293;-0.773245335;-0.790258467;-0.817530632;-0.837861717;-0.863484263;-0.900308073;-0.946875811;-0.987022877;-1"
49,4,59.845541929811816,30.620402217700001,3.0720229748600994E-05,0.0001243653725340188,2621.888,"0;47;175;377;596;798;970;1105;1201;1293;1431;1612;1801;1970;2122;2255;2345;2398;2430;2454;2474;2492;2508;2536;2537;2545;2559;2579;2607;2647;2702;2775;2889;3452;3486;3587;3669;3715;3735;3744;3748;3750;3751;3752;3753;3755;3762;3790;3876;4025;4096","1;0.998479187;0.993999779;0.985638976;0.974124908;0.960146725;0.94449234;0.928861856;0.915494621;0.900639892;0.874107599;0.830369592;0.77100414;0.701152802;0.619042099;0.526929855;0.448654413;0.39191696;0.350875288;0.314606577;0.278860748;0.240300491;0.199034914;0.113218352;0.110147551;0.0864603668;0.0497613549;0.00754012587;-0.0375449993;-0.0859398842;-0.136553198;-0.189213321;-0.254993081;-0.505223691;-0.521328151;-0.574576259;-0.630540371;-0.677062988;-0.709540844;-0.7336694;-0.751939535;-0.768930197;-0.792846084;-0.825587809;-0.835473359;-0.846907198;-0.867557943;-0.902721167;-0.947727799;-0.986911297;-1"
49,5,63.540759845796678,29.6600765512,4.0621617584691066E-05,0.0001015858142963677,2575.570,"0;48;175;376;595;793;958;1093;1206;1271;1390;1605;1818;1970;2074;2160;2243;2326;2401;2450;2478;2492;2510;2530;2550;2589;2591;2619;2653;2701;2772;2893;3465;3485;3594;3675;3716;3733;3739;3742;3744;3745;3746;3747;3748;3751;3762;3798;3890;4029;4096","1;0.99844712;0.993991017;0.985619664;0.974011123;0.960318029;0.94572705;0.931079507;0.916649401;0.907376766;0.888427019;0.846832812;0.792873442;0.741392195;0.695458949;0.647178292;0.588219523;0.514330685;0.433139563;0.370830864;0.33055225;0.308721542;0.278628975;0.242076665;0.201927483;0.116509587;0.112124063;0.0542547703;-0.00398901803;-0.0669041798;-0.135626554;-0.221293554;-0.501371622;-0.511450291;-0.572421849;-0.632510841;-0.678898633;-0.710366964;-0.72785449;-0.740549326;-0.753125429;-0.763030469;-0.792533755;-0.827060342;-0.83598268;-0.8507213;-0.87594372;-0.911601007;-0.953285158;-0.987835824;-1"
49,6,67.46414238367818,28.567054841400001,3.0728357498795481E-05,0.00031222672859287925,2618.745,"0;53;182;370;579;772;935;1070;1218;1412;1624;1804;1950;2075;2177;2255;2314;2360;2397;2418;2425;2461;2520;2580;2623;2671;2709;2760;2821;2897;3012;3476;3488;3630;3697;3723;3734;3738;3739;3740;3741;3743;3745;3746;3747;3750;3763;3803;3896;4029;4096","1;0.99829632;0.993764162;0.98594135;0.974983871;0.961991191;0.94825536;0.934648395;0.91722542;0.890212834;0.85452193;0.81723845;0.779370785;0.737449884;0.691378355;0.643004775;0.593919754;0.545869589;0.501295805;0.474255174;0.465038836;0.416512728;0.333946049;0.244846553;0.17645742;0.0976637453;0.0381550342;-0.0315554217;-0.0990383029;-0.16582492;-0.24595122;-0.493631423;-0.500229299;-0.590265989;-0.654140949;-0.696093321;-0.729087472;-0.756439447;-0.784223258;-0.824807107;-0.833609402;-0.84436965;-0.851755738;-0.85480243;-0.857553184;-0.864566684;-0.884745359;-0.917339265;-0.955868363;-0.987949193;-1"
49,7,71.629777777457321,27.4232854543,3.2928120847251863E-05,0.00020192078588188167,2560.998,"0;51;179;372;567;748;910;1061;1220;1414;1621;1803;1953;2077;2178;2257;2315;2357;2389;2416;2485;2488;2519;2560;2672;2673;2713;2795;2809;2827;2862;2946;3080;3486;3487;3608;3677;3710;3724;3730;3732;3733;3734;3736;3739;3745;3763;3809;3904;4030;4096","1;0.998389781;0.993971109;0.986016095;0.975912392;0.964097619;0.951109707;0.936758399;0.919293165;0.894755423;0.864260316;0.832467258;0.800745964;0.768173814;0.734169424;0.699035048;0.664450467;0.631215632;0.598604798;0.564653099;0.45874247;0.454072714;0.407436311;0.350281447;0.207133979;0.205875084;0.155248791;0.0504268482;0.0328133404;0.0105359759;-0.0311440118;-0.119746335;-0.230877712;-0.480816603;-0.48143056;-0.563375354;-0.626983583;-0.674280107;-0.708802283;-0.737994432;-0.765557706;-0.818580806;-0.828474283;-0.839971602;-0.850868523;-0.865038276;-0.889528692;-0.922289371;-0.958640575;-0.988194406;-1"
49,8,76.0526241520746,26.2989823763,4.0283337078034098E-05,0.00018101646214230271,2556.731,"0;56;183;361;551;730;896;1051;1221;1420;1622;1803;1957;2079;2163;2234;2326;2395;2434;2457;2479;2532;2544;2572;2614;2673;2704;2831;2905;2906;3080;3190;3329;3391;3616;3670;3698;3720;3726;3727;3728;3730;3731;3733;3736;3743;3763;3812;3907;4029;4096","1;0.998276532;0.993979335;0.986816108;0.977278113;0.966003776;0.953215301;0.939175308;0.921586752;0.898302197;0.871486723;0.843834281;0.816182137;0.789953291;0.768345177;0.746527255;0.70991987;0.670148015;0.637464285;0.61148417;0.579243422;0.47693792;0.455036491;0.409812301;0.3531093;0.285318166;0.252425432;0.122063607;0.0437688194;0.0426917039;-0.14089568;-0.239462629;-0.344881415;-0.388221532;-0.554369509;-0.609500825;-0.649160922;-0.701518834;-0.735128522;-0.748046637;-0.805865586;-0.827951193;-0.833657205;-0.842186391;-0.851465464;-0.866274118;-0.891215861;-0.924098432;-0.959419668;-0.98794955;-1"
49,9,80.748563235624118,25.246009146900001,3.6760448448019476E-05,0.00019359707465471665,2612.444,"0;58;189;367;550;720;879;1033;1200;1420;1639;1807;1939;2056;2154;2239;2316;2384;2440;2484;2516;2537;2548;2586;2607;2641;2696;2776;2777;2984;3063;3079;3302;3417;3453;3655;3690;3704;3716;3723;3726;3727;3728;3729;3733;3742;3764;3816;3912;4031;4096","1;0.998280823;0.993987262;0.986999929;0.978026509;0.967634201;0.955870152;0.942588151;0.926317155;0.902318537;0.875453532;0.852180898;0.831512988;0.810602427;0.79030472;0.769584179;0.746891856;0.721666098;0.69425106;0.664294899;0.632425666;0.601485968;0.579623699;0.483596474;0.441731095;0.390499532;0.327262044;0.251984507;0.251102835;0.0716236308;-0.0035839281;-0.0196056031;-0.250064492;-0.354906678;-0.385872632;-0.573575616;-0.622029006;-0.648079753;-0.678970098;-0.708538175;-0.73399508;-0.76041019;-0.809954286;-0.819935799;-0.840025067;-0.862146497;-0.890163481;-0.924735367;-0.96017009;-0.988147259;-1"
49,10,85.734457388078539,24.296271685400001,3.4100186379914874E-05,0.00016922192721824381,2662.025,"0;85;200;368;549;719;874;1023;1197;1425;1639;1808;1944;2054;2151;2234;2319;2393;2459;2520;2561;2586;2601;2610;2613;2632;2646;2675;2733;2839;2840;3135;3243;3444;3482;3659;3681;3694;3712;3723;3728;3730;3731;3732;3734;3741;3761;3812;3910;4032;4096","1;0.997567713;0.993898213;0.987543643;0.979015589;0.968988419;0.957912147;0.94555831;0.929322422;0.905659497;0.881041884;0.859455109;0.840095997;0.822570682;0.805142403;0.788133264;0.767746449;0.746176124;0.721806526;0.69088161;0.659810007;0.630504489;0.603476703;0.580172896;0.570738435;0.504375219;0.467965394;0.416839093;0.34884882;0.258402318;0.257633001;0.0326219127;-0.0696347803;-0.303030431;-0.34631592;-0.549639404;-0.581908524;-0.603982687;-0.642240822;-0.676863968;-0.702643394;-0.71996063;-0.734927595;-0.790207863;-0.817219555;-0.846288502;-0.879945874;-0.919194341;-0.958154857;-0.987986982;-1"
