## NumArray — 通し番号(行 = series number 0..540)ごとの番号メタ情報。1 行 6 列。
## col0=series number(=行)  col1=International Table 番号  col2=サブシリーズ番号
## col3=点群番号(推定)  col4=結晶系番号(推定)  col5=結晶系/ラウエ群コード(5 6=六方・三方系判定)
## コード参照: GetSeriesNumber=col1&&col2 一致行 ・ IsHexBySeries=col5∈{5 6} かつ col2==1。
## series,IT番号,sub,点群,結晶系,系コード
0,0,0,0,0,0
1,1,1,1,1,1
2,2,1,2,1,1
3,3,1,3,2,2
4,3,2,3,2,2
5,3,3,3,2,2
6,4,1,3,2,2
7,4,2,3,2,2
8,4,3,3,2,2
9,5,1,3,2,2
10,5,2,3,2,2
11,5,3,3,2,2
12,5,4,3,2,2
13,5,5,3,2,2
14,5,6,3,2,2
15,5,7,3,2,2
16,5,8,3,2,2
17,5,9,3,2,2
18,6,1,4,2,2
19,6,2,4,2,2
20,6,3,4,2,2
21,7,1,4,2,2
22,7,2,4,2,2
23,7,3,4,2,2
24,7,4,4,2,2
25,7,5,4,2,2
26,7,6,4,2,2
27,7,7,4,2,2
28,7,8,4,2,2
29,7,9,4,2,2
30,8,1,4,2,2
31,8,2,4,2,2
32,8,3,4,2,2
33,8,4,4,2,2
34,8,5,4,2,2
35,8,6,4,2,2
36,8,7,4,2,2
37,8,8,4,2,2
38,8,9,4,2,2
39,9,1,4,2,2
40,9,2,4,2,2
41,9,3,4,2,2
42,9,4,4,2,2
43,9,5,4,2,2
44,9,6,4,2,2
45,9,7,4,2,2
46,9,8,4,2,2
47,9,9,4,2,2
48,9,10,4,2,2
49,9,11,4,2,2
50,9,12,4,2,2
51,9,13,4,2,2
52,9,14,4,2,2
53,9,15,4,2,2
54,9,16,4,2,2
55,9,17,4,2,2
56,9,18,4,2,2
57,10,1,5,2,2
58,10,2,5,2,2
59,10,3,5,2,2
60,11,1,5,2,2
61,11,2,5,2,2
62,11,3,5,2,2
63,12,1,5,2,2
64,12,2,5,2,2
65,12,3,5,2,2
66,12,4,5,2,2
67,12,5,5,2,2
68,12,6,5,2,2
69,12,7,5,2,2
70,12,8,5,2,2
71,12,9,5,2,2
72,13,1,5,2,2
73,13,2,5,2,2
74,13,3,5,2,2
75,13,4,5,2,2
76,13,5,5,2,2
77,13,6,5,2,2
78,13,7,5,2,2
79,13,8,5,2,2
80,13,9,5,2,2
81,14,1,5,2,2
82,14,2,5,2,2
83,14,3,5,2,2
84,14,4,5,2,2
85,14,5,5,2,2
86,14,6,5,2,2
87,14,7,5,2,2
88,14,8,5,2,2
89,14,9,5,2,2
90,15,1,5,2,2
91,15,2,5,2,2
92,15,3,5,2,2
93,15,4,5,2,2
94,15,5,5,2,2
95,15,6,5,2,2
96,15,7,5,2,2
97,15,8,5,2,2
98,15,9,5,2,2
99,15,10,5,2,2
100,15,11,5,2,2
101,15,12,5,2,2
102,15,13,5,2,2
103,15,14,5,2,2
104,15,15,5,2,2
105,15,16,5,2,2
106,15,17,5,2,2
107,15,18,5,2,2
108,16,1,6,3,3
109,17,1,6,3,3
110,17,2,6,3,3
111,17,3,6,3,3
112,18,1,6,3,3
113,18,2,6,3,3
114,18,3,6,3,3
115,19,1,6,3,3
116,20,1,6,3,3
117,20,2,6,3,3
118,20,3,6,3,3
119,21,1,6,3,3
120,21,2,6,3,3
121,21,3,6,3,3
122,22,1,6,3,3
123,23,1,6,3,3
124,24,1,6,3,3
125,25,1,7,3,3
126,25,2,7,3,3
127,25,3,7,3,3
128,26,1,7,3,3
129,26,2,7,3,3
130,26,3,7,3,3
131,26,4,7,3,3
132,26,5,7,3,3
133,26,6,7,3,3
134,27,1,7,3,3
135,27,2,7,3,3
136,27,3,7,3,3
137,28,1,7,3,3
138,28,2,7,3,3
139,28,3,7,3,3
140,28,4,7,3,3
141,28,5,7,3,3
142,28,6,7,3,3
143,29,1,7,3,3
144,29,2,7,3,3
145,29,3,7,3,3
146,29,4,7,3,3
147,29,5,7,3,3
148,29,6,7,3,3
149,30,1,7,3,3
150,30,2,7,3,3
151,30,3,7,3,3
152,30,4,7,3,3
153,30,5,7,3,3
154,30,6,7,3,3
155,31,1,7,3,3
156,31,2,7,3,3
157,31,3,7,3,3
158,31,4,7,3,3
159,31,5,7,3,3
160,31,6,7,3,3
161,32,1,7,3,3
162,32,2,7,3,3
163,32,3,7,3,3
164,33,1,7,3,3
165,33,2,7,3,3
166,33,3,7,3,3
167,33,4,7,3,3
168,33,5,7,3,3
169,33,6,7,3,3
170,34,1,7,3,3
171,34,2,7,3,3
172,34,3,7,3,3
173,35,1,7,3,3
174,35,2,7,3,3
175,35,3,7,3,3
176,36,1,7,3,3
177,36,2,7,3,3
178,36,3,7,3,3
179,36,4,7,3,3
180,36,5,7,3,3
181,36,6,7,3,3
182,37,1,7,3,3
183,37,2,7,3,3
184,37,3,7,3,3
185,38,1,7,3,3
186,38,2,7,3,3
187,38,3,7,3,3
188,38,4,7,3,3
189,38,5,7,3,3
190,38,6,7,3,3
191,39,1,7,3,3
192,39,2,7,3,3
193,39,3,7,3,3
194,39,4,7,3,3
195,39,5,7,3,3
196,39,6,7,3,3
197,40,1,7,3,3
198,40,2,7,3,3
199,40,3,7,3,3
200,40,4,7,3,3
201,40,5,7,3,3
202,40,6,7,3,3
203,41,1,7,3,3
204,41,2,7,3,3
205,41,3,7,3,3
206,41,4,7,3,3
207,41,5,7,3,3
208,41,6,7,3,3
209,42,1,7,3,3
210,42,2,7,3,3
211,42,3,7,3,3
212,43,1,7,3,3
213,43,2,7,3,3
214,43,3,7,3,3
215,44,1,7,3,3
216,44,2,7,3,3
217,44,3,7,3,3
218,45,1,7,3,3
219,45,2,7,3,3
220,45,3,7,3,3
221,46,1,7,3,3
222,46,2,7,3,3
223,46,3,7,3,3
224,46,4,7,3,3
225,46,5,7,3,3
226,46,6,7,3,3
227,47,1,8,3,3
228,48,1,8,3,3
229,48,2,8,3,3
230,49,1,8,3,3
231,49,2,8,3,3
232,49,3,8,3,3
233,50,1,8,3,3
234,50,2,8,3,3
235,50,3,8,3,3
236,50,4,8,3,3
237,50,5,8,3,3
238,50,6,8,3,3
239,51,1,8,3,3
240,51,2,8,3,3
241,51,3,8,3,3
242,51,4,8,3,3
243,51,5,8,3,3
244,51,6,8,3,3
245,52,1,8,3,3
246,52,2,8,3,3
247,52,3,8,3,3
248,52,4,8,3,3
249,52,5,8,3,3
250,52,6,8,3,3
251,53,1,8,3,3
252,53,2,8,3,3
253,53,3,8,3,3
254,53,4,8,3,3
255,53,5,8,3,3
256,53,6,8,3,3
257,54,1,8,3,3
258,54,2,8,3,3
259,54,3,8,3,3
260,54,4,8,3,3
261,54,5,8,3,3
262,54,6,8,3,3
263,55,1,8,3,3
264,55,2,8,3,3
265,55,3,8,3,3
266,56,1,8,3,3
267,56,2,8,3,3
268,56,3,8,3,3
269,57,1,8,3,3
270,57,2,8,3,3
271,57,3,8,3,3
272,57,4,8,3,3
273,57,5,8,3,3
274,57,6,8,3,3
275,58,1,8,3,3
276,58,2,8,3,3
277,58,3,8,3,3
278,59,1,8,3,3
279,59,2,8,3,3
280,59,3,8,3,3
281,59,4,8,3,3
282,59,5,8,3,3
283,59,6,8,3,3
284,60,1,8,3,3
285,60,2,8,3,3
286,60,3,8,3,3
287,60,4,8,3,3
