## StrArray — 空間群ごとの記号・名称テーブル(行 = series number 0..540 ・ 17 列 ・ 空セル=空文字列)
## col0=SpaceGroupHMsub  col1=SpaceGroupSF(Schoenflies)  col2=SpaceGroupHall  col3=SpaceGroupHM  col4=SpaceGroupHMfull
## col5=MainAxis  col6=LatticeType  col7=StrSE1p col8=StrSE1v col9=StrSE2p col10=StrSE2v col11=StrSE3p col12=StrSE3v
## col13=PointGroupHM  col14=PointGroupSF  col15=LaueGroup  col16=CrystalSystem
## 対応: Symmetry.cs の SpaceGroupHMsubStr..CrystalSystemStr。const(t/m/o/te/tr/c/h)は結晶系名へ解決済み。RFC4180 引用(" を含むセルあり)。
## HMsub,SF,Hall,HM,HMfull,主軸,格子,SE1p,SE1v,SE2p,SE2v,SE3p,SE3v,点群HM,点群SF,Laue,結晶系
,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
,C1^1,P1,P1,P1,,P,1,,1,,1,,1,C1,-1,triclinic
,Ci^1,-P1,P-1,P-1,,P,-1,,1,,1,,-1,Ci,-1,triclinic
b,C2^1,P2y,P2=P121,P121,b,P,1,,2,,1,,2,C2,2/m,monoclinic
c,C2^1,P2,P2=P112,P112,c,P,1,,1,,2,,2,C2,2/m,monoclinic
a,C2^1,P2x,P2=P211,P211,a,P,2,,1,,1,,2,C2,2/m,monoclinic
b,C2^2,P2yb,P2sub1=P12sub11,P12sub11,b,P,1,,2s1,,1,,2,C2,2/m,monoclinic
c,C2^2,P2c,P2sub1=P112sub1,P112sub1,c,P,1,,1,,2s1,,2,C2,2/m,monoclinic
a,C2^2,P2xa,P2sub1=P2sub111,P2sub111,a,P,2s1,,1,,1,,2,C2,2/m,monoclinic
b1,C2^3,C2y,C2=C121,C121,b,C,1,,2,,1,,2,C2,2/m,monoclinic
b2,C2^3,A2y,C2=A121,A121,b,A,1,,2,,1,,2,C2,2/m,monoclinic
b3,C2^3,I2y,C2=I121,I121,b,I,1,,2,,1,,2,C2,2/m,monoclinic
c1,C2^3,A2,C2=A112,A112,c,A,1,,1,,2,,2,C2,2/m,monoclinic
